KEGG_id	gene	location	name
4535	MT-ND1	mitochondrial	NADH dehydrogenase subunit 1 [KO:K03878] [EC:7.1.1.2] (MN: added MT- in front to match annotated gene names) 
4536	MT-ND2	mitochondrial	NADH dehydrogenase subunit 2 [KO:K03879] [EC:7.1.1.2]
4537	MT-ND3	mitochondrial	NADH dehydrogenase subunit 3 [KO:K03880] [EC:7.1.1.2]
4538	MT-ND4	mitochondrial	NADH dehydrogenase subunit 4 [KO:K03881] [EC:7.1.1.2]
4539	MT-ND4L	mitochondrial	NADH dehydrogenase subunit 4L [KO:K03882] [EC:7.1.1.2]
4540	MT-ND5	mitochondrial	NADH dehydrogenase subunit 5 [KO:K03883] [EC:7.1.1.2]
4541	MT-ND6	mitochondrial	NADH dehydrogenase subunit 6 [KO:K03884] [EC:7.1.1.2]
4719	NDUFS1	nuclear	NADH:ubiquinone oxidoreductase core subunit S1 [KO:K03934] [EC:7.1.1.2]
4720	NDUFS2	nuclear	NADH:ubiquinone oxidoreductase core subunit S2 [KO:K03935] [EC:7.1.1.2]
4722	NDUFS3	nuclear	NADH:ubiquinone oxidoreductase core subunit S3 [KO:K03936] [EC:7.1.1.2]
4724	NDUFS4	nuclear	NADH:ubiquinone oxidoreductase subunit S4 [KO:K03937]
4725	NDUFS5	nuclear	NADH:ubiquinone oxidoreductase subunit S5 [KO:K03938]
4726	NDUFS6	nuclear	NADH:ubiquinone oxidoreductase subunit S6 [KO:K03939]
374291	NDUFS7	nuclear	NADH:ubiquinone oxidoreductase core subunit S7 [KO:K03940] [EC:7.1.1.2]
4728	NDUFS8	nuclear	NADH:ubiquinone oxidoreductase core subunit S8 [KO:K03941] [EC:7.1.1.2]
4723	NDUFV1	nuclear	NADH:ubiquinone oxidoreductase core subunit V1 [KO:K03942] [EC:7.1.1.2]
4729	NDUFV2	nuclear	NADH:ubiquinone oxidoreductase core subunit V2 [KO:K03943] [EC:7.1.1.2]
4731	NDUFV3	nuclear	NADH:ubiquinone oxidoreductase subunit V3 [KO:K03944]
4694	NDUFA1	nuclear	NADH:ubiquinone oxidoreductase subunit A1 [KO:K03945]
4695	NDUFA2	nuclear	NADH:ubiquinone oxidoreductase subunit A2 [KO:K03946]
4696	NDUFA3	nuclear	NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4697	NDUFA4	nuclear	NDUFA4 mitochondrial complex associated [KO:K03948]
56901	NDUFA4L2	nuclear	NDUFA4 mitochondrial complex associated like 2 [KO:K03948]
4698	NDUFA5	nuclear	NADH:ubiquinone oxidoreductase subunit A5 [KO:K03949]
4700	NDUFA6	nuclear	NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4701	NDUFA7	nuclear	NADH:ubiquinone oxidoreductase subunit A7 [KO:K03951]
4702	NDUFA8	nuclear	NADH:ubiquinone oxidoreductase subunit A8 [KO:K03952]
4704	NDUFA9	nuclear	NADH:ubiquinone oxidoreductase subunit A9 [KO:K03953]
4705	NDUFA10	nuclear	NADH:ubiquinone oxidoreductase subunit A10 [KO:K03954]
4706	NDUFAB1	nuclear	NADH:ubiquinone oxidoreductase subunit AB1 [KO:K03955]
126328	NDUFA11	nuclear	NADH:ubiquinone oxidoreductase subunit A11 [KO:K03956]
55967	NDUFA12	nuclear	NADH:ubiquinone oxidoreductase subunit A12 [KO:K11352]
51079	NDUFA13	nuclear	NADH:ubiquinone oxidoreductase subunit A13 [KO:K11353]
4707	NDUFB1	nuclear	NADH:ubiquinone oxidoreductase subunit B1 [KO:K03957]
4708	NDUFB2	nuclear	NADH:ubiquinone oxidoreductase subunit B2 [KO:K03958]
4709	NDUFB3	nuclear	NADH:ubiquinone oxidoreductase subunit B3 [KO:K03959]
